thisN,thisTrialN,thisRepN,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,Init.started,text.started,key_resp.started,Init.stopped,key_resp.keys,key_resp.rt,key_resp.duration,prep.started,text_2.started,text_2.stopped,prep.stopped,run.started,run.stopped,Eyes.started,prog.started,polygon.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.01041409999015741,0.022720800014212728,0.022720800014212728,0.9420704999938607,space,0.8595198999973945,None,,,,,,,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.484623800002737,,,,,,,,,0.9440592000028118,0.9547119000053499,2.484623800002737,2.4643385999952443,2.470237500005169,2.4702923000149895,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2.484623800002737,,,,,,,,,,,,,2.47120209998684,2.471244399988791,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,2.484623800002737,,,,,,,,,,,,,2.4720915000070818,2.4721200999920256,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,2.484623800002737,,,,,,,,,,,,,2.473074000008637,2.4730997000006028,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
4,0,4,0,0,0,0,0,0,0,0,4,0,4,0,2.484623800002737,,,,,,,,,,,,,2.4744724000047427,2.4745051999925636,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
5,0,5,0,0,0,0,0,0,0,0,5,0,5,0,2.484623800002737,,,,,,,,,,,,,2.4752763000142295,2.4851101000094786,2.484623800002737,2.484623800002737,2.484623800002737,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
6,0,6,0,0,0,0,0,0,0,0,6,0,6,0,2.5152280000038445,,,,,,,,,,,,,2.4869047999964096,2.4869531000149436,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
7,0,7,0,0,0,0,0,0,0,0,7,0,7,0,2.5152280000038445,,,,,,,,,,,,,2.488798800011864,2.4888553000055254,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
8,0,8,0,0,0,0,0,0,0,0,8,0,8,0,2.5152280000038445,,,,,,,,,,,,,2.490301300014835,2.490338300005533,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
9,0,9,0,0,0,0,0,0,0,0,9,0,9,0,2.5152280000038445,,,,,,,,,,,,,2.491412900009891,2.4914481999876443,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
10,0,10,0,0,0,0,0,0,0,0,10,0,10,0,2.5152280000038445,,,,,,,,,,,,,2.492402800009586,2.4924345999897923,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
11,0,11,0,0,0,0,0,0,0,0,11,0,11,0,2.5152280000038445,,,,,,,,,,,,,2.493819800001802,2.493852200015681,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
12,0,12,0,0,0,0,0,0,0,0,12,0,12,0,2.5152280000038445,,,,,,,,,,,,,2.4956763999944087,2.4957183999940753,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
13,0,13,0,0,0,0,0,0,0,0,13,0,13,0,2.5152280000038445,,,,,,,,,,,,,2.496412500011502,2.49644580000313,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
14,0,14,0,0,0,0,0,0,0,0,14,0,14,0,2.5152280000038445,,,,,,,,,,,,,2.4974335999868345,2.497466400003759,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
15,0,15,0,0,0,0,0,0,0,0,15,0,15,0,2.5152280000038445,,,,,,,,,,,,,2.4985281999979634,2.4985635000048205,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
16,0,16,0,0,0,0,0,0,0,0,16,0,16,0,2.5152280000038445,,,,,,,,,,,,,2.499824800004717,2.499897300003795,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
17,0,17,0,0,0,0,0,0,0,0,17,0,17,0,2.5152280000038445,,,,,,,,,,,,,2.5015653000155,2.5016181000100914,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
18,0,18,0,0,0,0,0,0,0,0,18,0,18,0,2.5152280000038445,,,,,,,,,,,,,2.5023847999982536,2.502447900013067,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
19,0,19,0,0,0,0,0,0,0,0,19,0,19,0,2.5152280000038445,,,,,,,,,,,,,2.503644100012025,2.5156941000022925,2.5152280000038445,2.5152280000038445,2.5152280000038445,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
20,0,20,0,0,0,0,0,0,0,0,20,0,20,0,2.542318799998611,,,,,,,,,,,,,2.5162993000121787,2.5163381999882404,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
21,0,21,0,0,0,0,0,0,0,0,21,0,21,0,2.542318799998611,,,,,,,,,,,,,2.517389099986758,2.517421500000637,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
22,0,22,0,0,0,0,0,0,0,0,22,0,22,0,2.542318799998611,,,,,,,,,,,,,2.5184210000152234,2.5184516000153963,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
23,0,23,0,0,0,0,0,0,0,0,23,0,23,0,2.542318799998611,,,,,,,,,,,,,2.5193177000037394,2.5193497000145726,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
24,0,24,0,0,0,0,0,0,0,0,24,0,24,0,2.542318799998611,,,,,,,,,,,,,2.5201297999883536,2.520166500005871,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
25,0,25,0,0,0,0,0,0,0,0,25,0,25,0,2.542318799998611,,,,,,,,,,,,,2.521162299992284,2.5211984000052325,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
26,0,26,0,0,0,0,0,0,0,0,26,0,26,0,2.542318799998611,,,,,,,,,,,,,2.5221588000131305,2.5221888000087347,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
27,0,27,0,0,0,0,0,0,0,0,27,0,27,0,2.542318799998611,,,,,,,,,,,,,2.5236460999876726,2.5236997999891173,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
28,0,28,0,0,0,0,0,0,0,0,28,0,28,0,2.542318799998611,,,,,,,,,,,,,2.5256463999976404,2.5257050000072923,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
29,0,29,0,0,0,0,0,0,0,0,29,0,29,0,2.542318799998611,,,,,,,,,,,,,2.527390100003686,2.527437699987786,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
30,0,30,0,0,0,0,0,0,0,0,30,0,30,0,2.542318799998611,,,,,,,,,,,,,2.52869579999242,2.528756000014255,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
31,0,31,0,0,0,0,0,0,0,0,31,0,31,0,2.542318799998611,,,,,,,,,,,,,2.530567300011171,2.530619700002717,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
32,0,32,0,0,0,0,0,0,0,0,32,0,32,0,2.542318799998611,,,,,,,,,,,,,2.5313027999945916,2.531366600014735,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
33,0,33,0,0,0,0,0,0,0,0,33,0,33,0,2.542318799998611,,,,,,,,,,,,,2.5324111999943852,2.5324437000090256,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
34,0,34,0,0,0,0,0,0,0,0,34,0,34,0,2.542318799998611,,,,,,,,,,,,,2.5332397999882232,2.542541800008621,2.542318799998611,2.542318799998611,2.542318799998611,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
35,0,35,0,0,0,0,0,0,0,0,35,0,35,0,2.555904400011059,,,,,,,,,,,,,2.543170299992198,2.5432049999944866,,,,515518,001,2025-10-23_20h12.43.275,run,2024.2.4,None,2025-10-23 20h12.48.629958 +0800,
